business_name,review_count,rating,address,price_range,url
The Aster Buckhead Apartments,3,3.5,"2900 Pharr Ct S NW Atlanta, GA 30305",0,https://www.yelp.com/biz/the-aster-buckhead-apartments-atlanta?osq=Apartments
Alexan Buckhead Village,5,4.0,"361 Pharr Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/alexan-buckhead-village-atlanta-2?osq=Apartments
Kingsboro Luxury Apartments,7,3.5,"3443 Kingsboro Rd NE Atlanta, GA 30326",0,https://www.yelp.com/biz/kingsboro-luxury-apartments-atlanta?osq=Apartments
Marquis at Buckhead,18,4.0,"214 Colonial Homes Dr NW Atlanta, GA 30309",0,https://www.yelp.com/biz/marquis-at-buckhead-atlanta?osq=Apartments
Wesley Townsend Apartment Homes,3,3.5,"200 Colonial Homes Dr NW Atlanta, GA 30309",0,https://www.yelp.com/biz/wesley-townsend-apartment-homes-atlanta?osq=Apartments
The Collection,25,3.5,"4600 Roswell Rd Sandy Springs, GA 30342",0,https://www.yelp.com/biz/the-collection-sandy-springs?osq=Apartments
The Aster Buckhead Apartments,3,3.5,"2900 Pharr Ct S NW Atlanta, GA 30305",0,https://www.yelp.com/biz/the-aster-buckhead-apartments-atlanta?osq=Apartments
Alexan Buckhead Village,5,4.0,"361 Pharr Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/alexan-buckhead-village-atlanta-2?osq=Apartments
Kingsboro Luxury Apartments,7,3.5,"3443 Kingsboro Rd NE Atlanta, GA 30326",0,https://www.yelp.com/biz/kingsboro-luxury-apartments-atlanta?osq=Apartments
Lakeshore Crossing Apartments,3,5.0,"100 Lakeshore Dr NE Atlanta, GA 30324",0,https://www.yelp.com/biz/lakeshore-crossing-apartments-atlanta?osq=Apartments
Allure in Buckhead Village,16,2.0,"360 Pharr Rd Atlanta, GA 30305",0,https://www.yelp.com/biz/allure-in-buckhead-village-atlanta?osq=Apartments
Morningside Atlanta by Windsor,1,5.0,"1845 Piedmont Ave NE Atlanta, GA 30324",0,https://www.yelp.com/biz/morningside-atlanta-by-windsor-atlanta?osq=Apartments
Gables Midtown by Gables Residential,49,3.0,"1925 Monroe Dr Atlanta, GA 30324",0,https://www.yelp.com/biz/gables-midtown-by-gables-residential-atlanta?osq=Apartments
The Aster Buckhead Apartments,3,3.5,"2900 Pharr Ct S NW Atlanta, GA 30305",0,https://www.yelp.com/biz/the-aster-buckhead-apartments-atlanta?osq=Apartments
Alexan Buckhead Village,5,4.0,"361 Pharr Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/alexan-buckhead-village-atlanta-2?osq=Apartments
Kingsboro Luxury Apartments,7,3.5,"3443 Kingsboro Rd NE Atlanta, GA 30326",0,https://www.yelp.com/biz/kingsboro-luxury-apartments-atlanta?osq=Apartments
